serial,serial_norm,relation_type,color,cycle_id,points_used,slope_pct_per_day,level_now_pct,days_left_est,last_seen,stockout_date,offset_days,reorder_date,should_order_now,rs_n_cycles,rs_mean_cycle_len_days,rs_max_cycle_len_days,rs_last_seen,rs_last_reset,rs_days_since_last_reset,rs_has_reset,us_mean_daily_pct_drop,us_median_daily_pct_drop,us_peak_daily_pct_drop,us_mean_pct_drop_per_cycle,us_has_usage_data,m_total_pages,m_n_records,m_ratio_color,m_ratio_a3,m_daily_mean,m_daily_std,m_total_pages_last30,m_total_pages_last7,month,dayofweek,week,ml_offset_days_v21,last_seen_dt,stockout_date_ml_v21,days_left_ml_v21,reference_date,days_left_v21,contract_no
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$CT002568$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$CT002575$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$CT002518$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$CT002571$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$CT002433$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$CT001604$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$CT002520$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$CT002459$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$CT002517$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$CT002434$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$CT002569$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$CT002626$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$CT002526$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$CT000174$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$CT003732$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$CT001494$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$CT003730$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$CT005041$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$STCT000962$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$STCT000977$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$STCT000856$
$$,$$,contrat_adex,cyan,142,248,-0.6332,0.0,0.0,2026-02-18 14:42:00,2026-02-18,1,2026-02-17,True,143,8.6993006993007,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.33566433566433,1.0,,,,,,,,,2,2,8,-1.336916,2026-02-18 14:42:00,2026-02-16 15:54:50.460205081,0.0,2026-02-18 14:42:00,0.0,$STCT000970$
$$,$$,contrat_adex,magenta,148,248,-0.6007,0.0,0.0,2026-02-18 14:42:00,2026-02-18,-8,2026-02-26,True,149,8.38255033557047,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.1744966442953,1.0,,,,,,,,,2,2,8,-9.371424,2026-02-18 14:42:00,2026-02-08 15:05:08.990478514,0.0,2026-02-18 14:42:00,0.0,$CT002442$
$$,$$,contrat_adex,magenta,148,248,-0.6007,0.0,0.0,2026-02-18 14:42:00,2026-02-18,-8,2026-02-26,True,149,8.38255033557047,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.1744966442953,1.0,,,,,,,,,2,2,8,-9.371424,2026-02-18 14:42:00,2026-02-08 15:05:08.990478514,0.0,2026-02-18 14:42:00,0.0,$CT002553$
$$,$$,contrat_adex,magenta,148,248,-0.6007,0.0,0.0,2026-02-18 14:42:00,2026-02-18,-8,2026-02-26,True,149,8.38255033557047,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.1744966442953,1.0,,,,,,,,,2,2,8,-9.371424,2026-02-18 14:42:00,2026-02-08 15:05:08.990478514,0.0,2026-02-18 14:42:00,0.0,$CT002551$
$$,$$,contrat_adex,magenta,148,248,-0.6007,0.0,0.0,2026-02-18 14:42:00,2026-02-18,-8,2026-02-26,True,149,8.38255033557047,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.1744966442953,1.0,,,,,,,,,2,2,8,-9.371424,2026-02-18 14:42:00,2026-02-08 15:05:08.990478514,0.0,2026-02-18 14:42:00,0.0,$CT002568$
$$,$$,contrat_adex,magenta,148,248,-0.6007,0.0,0.0,2026-02-18 14:42:00,2026-02-18,-8,2026-02-26,True,149,8.38255033557047,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.1744966442953,1.0,,,,,,,,,2,2,8,-9.371424,2026-02-18 14:42:00,2026-02-08 15:05:08.990478514,0.0,2026-02-18 14:42:00,0.0,$CT002575$
$$,$$,contrat_adex,magenta,148,248,-0.6007,0.0,0.0,2026-02-18 14:42:00,2026-02-18,-8,2026-02-26,True,149,8.38255033557047,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.1744966442953,1.0,,,,,,,,,2,2,8,-9.371424,2026-02-18 14:42:00,2026-02-08 15:05:08.990478514,0.0,2026-02-18 14:42:00,0.0,$CT002518$
$$,$$,contrat_adex,magenta,148,248,-0.6007,0.0,0.0,2026-02-18 14:42:00,2026-02-18,-8,2026-02-26,True,149,8.38255033557047,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.1744966442953,1.0,,,,,,,,,2,2,8,-9.371424,2026-02-18 14:42:00,2026-02-08 15:05:08.990478514,0.0,2026-02-18 14:42:00,0.0,$CT002571$
$$,$$,contrat_adex,magenta,148,248,-0.6007,0.0,0.0,2026-02-18 14:42:00,2026-02-18,-8,2026-02-26,True,149,8.38255033557047,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.1744966442953,1.0,,,,,,,,,2,2,8,-9.371424,2026-02-18 14:42:00,2026-02-08 15:05:08.990478514,0.0,2026-02-18 14:42:00,0.0,$CT002433$
$$,$$,contrat_adex,magenta,148,248,-0.6007,0.0,0.0,2026-02-18 14:42:00,2026-02-18,-8,2026-02-26,True,149,8.38255033557047,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.1744966442953,1.0,,,,,,,,,2,2,8,-9.371424,2026-02-18 14:42:00,2026-02-08 15:05:08.990478514,0.0,2026-02-18 14:42:00,0.0,$CT001604$
$$,$$,contrat_adex,magenta,148,248,-0.6007,0.0,0.0,2026-02-18 14:42:00,2026-02-18,-8,2026-02-26,True,149,8.38255033557047,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.1744966442953,1.0,,,,,,,,,2,2,8,-9.371424,2026-02-18 14:42:00,2026-02-08 15:05:08.990478514,0.0,2026-02-18 14:42:00,0.0,$CT002520$
$$,$$,contrat_adex,magenta,148,248,-0.6007,0.0,0.0,2026-02-18 14:42:00,2026-02-18,-8,2026-02-26,True,149,8.38255033557047,665,2026-02-18 14:42:00,2026-02-15 20:14:00,2.0,1,0.0,0.0,0.0,84.1744966442953,1.0,,,,,,,,,2,2,8,-9.371424,2026-02-18 14:42:00,2026-02-08 15:05:08.990478514,0.0,2026-02-18 14:42:00,0.0,$CT002459$
